vendor,product_name,avg_price
Loblaws,Abate Fetel Pears,6.96666666666667
Loblaws,Bartlett Pears,5.718
Loblaws,Bosc Pears,6.96333333333333
Loblaws,Brown Asian Pears,6.6
Loblaws,D'Anjou Pears,7.69
Loblaws,Forelle Pears,5.38
Loblaws,Red Anjou Pears,6.6
Loblaws,Yellow Asian Pears,5.5
NoFrills,Abate Fetel Pears,7.695
NoFrills,Bartlett Pears,4.518
NoFrills,Bosc Pears,5.49
NoFrills,D'Anjou Pears,6.59
NoFrills,Forelle Pears,5.49
NoFrills,Rocha Pears,5.49
NoFrills,Yellow Asian Pears,5.04
Voila,Anjou Pears Large 1 Count ,1.14
Voila,Excel Spearmint Mints 34g 1 Tin,3.14
Voila,Excel Spearmint Sugar Free Chewing Gum 12 Pieces 1 Pack,1.99
Voila,Excel Spearmint Sugar Free Chewing Gum 60 Pieces 1 Bottle,5.31
Voila,Excel Spearmint Sugar Free Soft Chew Gum 40 Pieces 1 Bottle,5.31
Voila,Organics Pears Bartlett 1 Count ,1.49
Voila,Pear Bartlett 1 Count ,1.065
Voila,Pears Asian 1 Count ,2.29
Voila,Pears Bosc Large 1 Count,1.09
Voila,Trident Gum Sugar Free Spearmint 14 Pieces ea,2.49
