pollster,numeric_grade,pollscore,state,end_date,candidate_name,sample_size,pct
Trafalgar Group,0.7,0.6,Pennsylvania,10/19/24,Kamala Harris,1084,43.3
Trafalgar Group,0.7,0.6,Pennsylvania,10/19/24,Donald Trump,1084,46.3
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/18/24,Kamala Harris,691,46
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/18/24,Donald Trump,691,49
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/18/24,Chase Oliver,691,1
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/18/24,Jill Stein,691,1
Redfield & Wilton Strategies,1.8,0.4,Florida,10/18/24,Kamala Harris,1275,45
Redfield & Wilton Strategies,1.8,0.4,Florida,10/18/24,Donald Trump,1275,49
Redfield & Wilton Strategies,1.8,0.4,Florida,10/18/24,Chase Oliver,1275,1
Redfield & Wilton Strategies,1.8,0.4,Florida,10/18/24,Jill Stein,1275,0
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/18/24,Kamala Harris,1008,47
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/18/24,Donald Trump,1008,47
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/18/24,Chase Oliver,1008,1
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/18/24,Jill Stein,1008,0
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/18/24,Kamala Harris,529,46
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/18/24,Donald Trump,529,47
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/18/24,Chase Oliver,529,1
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/18/24,Jill Stein,529,1
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/18/24,Kamala Harris,622,47
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/18/24,Donald Trump,622,46
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/18/24,Chase Oliver,622,1
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/18/24,Jill Stein,622,0
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/18/24,Kamala Harris,843,45
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/18/24,Donald Trump,843,48
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/18/24,Chase Oliver,843,0
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/18/24,Jill Stein,843,1
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/18/24,Kamala Harris,1019,47
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/18/24,Donald Trump,1019,48
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/18/24,Chase Oliver,1019,1
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/18/24,Jill Stein,1019,1
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/18/24,Kamala Harris,1256,48
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/18/24,Donald Trump,1256,48
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/18/24,Chase Oliver,1256,1
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/18/24,Jill Stein,1256,0
Research & Polling,2.1,-0.9,New Mexico,10/18/24,Kamala Harris,1024,50
Research & Polling,2.1,-0.9,New Mexico,10/18/24,Donald Trump,1024,41
Research & Polling,2.1,-0.9,New Mexico,10/18/24,Robert F. Kennedy,1024,3
U. North Florida,2.8,-0.6,Florida,10/18/24,Kamala Harris,977,43
U. North Florida,2.8,-0.6,Florida,10/18/24,Donald Trump,977,53
PPP,1.4,0,Other,10/17/24,Kamala Harris,571,55
PPP,1.4,0,Other,10/17/24,Donald Trump,571,40
PPP,1.4,0,Other,10/17/24,Kamala Harris,716,53
PPP,1.4,0,Other,10/17/24,Donald Trump,716,41
RMG Research,2.3,-0.4,Florida,10/17/24,Kamala Harris,788,47
RMG Research,2.3,-0.4,Florida,10/17/24,Donald Trump,788,52
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Kamala Harris,1440,48.6
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Donald Trump,1440,49.2
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Jill Stein,1440,0.7
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Chase Oliver,1440,0.1
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Kamala Harris,1440,49.3
AtlasIntel,2.7,-0.8,Arizona,10/17/24,Donald Trump,1440,49.2
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Kamala Harris,1411,48.1
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Donald Trump,1411,49.5
