causative_agent,date_of_outbreak
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
Parainfluenza,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Enterovirus/ Rhinovirus,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Clostridium difficile,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
CPE Unspecified (VIM),2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Parainfluenza,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
CPE Enterobacter cloacae (KPC),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Enterovirus/ Rhinovirus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Metapneumovirus,2024_begin
Coronavirus*,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Parainfluenza,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
Coronavirus*,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
