_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Causative Agent - 1,Causative Agent - 2
1,Shepherd Lodge - 4 North,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,None,2024-09-17,NA,Y,NA,NA
2,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,COVID-19,None,2024-09-17,NA,Y,NA,NA
3,UHN - Trillium Health Partners - RCC - 3W,82 Buttowood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-17,NA,Y,NA,NA
4,McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,NA,Y,NA,NA
5,Southlake Regional Health Centre - RCC Finch Site - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,NA,Y,NA,NA
6,The Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-09-16,NA,Y,NA,NA
7,Village of Humber Heights - Williamsburg East Neighbourhood,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,None,2024-09-16,NA,Y,NA,NA
8,Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-09-16,NA,Y,NA,NA
9,William Osler Health System - Etobicoke General - 7E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-16,NA,Y,NA,NA
10,Harmony Hills Care Community - 2A,1800 O'Connor Dr,LTCH,Respiratory,Pending,None,2024-09-15,NA,Y,NA,NA
11,Holland Bloorview Kids Rehabilitation Hospital - 3W SODR Unit (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-15,NA,Y,NA,NA
12,North York General Hospital - General Site - 3W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-14,NA,Y,NA,NA
13,Better Living at Thompson House - 4th Fl,1 Overlea Dr,LTCH,Respiratory,COVID-19,None,2024-09-13,NA,Y,NA,NA
14,Isabel And Arthur Meighen Manor - 2 West - Coombs,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,None,2024-09-13,NA,Y,NA,NA
15,Shepherd Terrace Retirement Residence - 2nd & 3rd Fl,3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,None,2024-09-13,NA,Y,NA,NA
16,Sinai Health System - Hennick Bridgepoint Hospital - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-13,NA,Y,NA,NA
17,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-09-12,NA,Y,NA,NA
