Date,Number_of_Outbreaks
2015-01,12
2015-02,19
2015-03,8
2015-04,15
2015-05,21
2015-06,16
2015-07,10
2015-08,8
2015-09,19
2015-10,16
2015-11,16
2015-12,15
2016-01,12
2016-02,20
2016-03,18
2016-04,14
2016-05,11
2016-06,10
2016-07,13
2016-08,10
2016-09,12
2016-10,14
2016-11,10
2016-12,10
2017-01,13
2017-02,9
2017-03,18
2017-04,18
2017-05,18
2017-06,17
2017-07,17
2017-08,14
2017-09,13
2017-10,13
2017-11,12
2017-12,18
2018-01,14
2018-02,19
2018-03,11
2018-04,13
2018-05,13
2018-06,18
2018-07,14
2018-08,15
2018-09,14
2018-10,14
2018-11,20
2018-12,14
2019-01,20
2019-02,9
2019-03,10
2019-04,15
2019-05,16
2019-06,13
2019-07,13
2019-08,11
2019-09,16
2019-10,19
2019-11,17
2019-12,16
2020-01,18
2020-02,14
2020-03,14
2020-04,11
2020-05,12
2020-06,17
2020-07,14
2020-08,12
2020-09,15
2020-10,14
2020-11,15
2020-12,16
2021-01,13
2021-02,17
2021-03,14
2021-04,16
2021-05,19
2021-06,16
2021-07,13
2021-08,19
2021-09,18
2021-10,17
2021-11,15
2021-12,12
2022-01,20
2022-02,13
2022-03,16
2022-04,14
2022-05,16
2022-06,15
2022-07,21
2022-08,15
2022-09,19
2022-10,12
2022-11,14
2022-12,11
2023-01,17
2023-02,14
2023-03,20
2023-04,21
2023-05,16
2023-06,13
2023-07,15
2023-08,20
2023-09,14
2023-10,8
2023-11,11
2023-12,18
2024-01,16
2024-02,16
2024-03,17
2024-04,22
2024-05,17
2024-06,12
2024-07,15
2024-08,11
2024-09,19
2024-10,19
2024-11,21
2024-12,15
2025-01,13
2025-02,15
2025-03,24
2025-04,22
2025-05,9
2025-06,10
2025-07,16
2025-08,10
2025-09,17
2025-10,23
2025-11,10
2025-12,5
