date,number_of_marriage
2020-01-01,17
2020-01-02,1
2020-01-03,7
2020-01-04,7
2020-01-05,13
2020-01-06,20
2020-01-07,8
2020-01-08,6
2020-01-09,9
2020-01-10,12
2020-01-11,9
2020-01-12,10
2020-01-13,11
2020-01-14,12
2020-01-15,9
2020-01-16,12
2020-01-17,14
2020-01-18,10
2020-01-19,11
2020-01-20,10
2020-01-21,11
2020-01-22,6
2020-01-23,12
2020-01-24,11
2020-01-25,9
2020-01-26,10
2020-01-27,10
2020-01-28,13
2020-01-29,9
2020-01-30,4
2020-01-31,15
2020-02-01,11
2020-02-02,9
2020-02-03,9
2020-02-04,7
2020-02-05,10
2020-02-06,9
2020-02-07,8
2020-02-08,7
2020-02-09,9
2020-02-10,14
2020-02-11,11
2020-02-12,15
2020-02-13,14
2020-02-14,10
2020-02-15,8
2020-02-16,10
2020-02-17,8
2020-02-18,6
2020-02-19,16
2020-02-20,9
2020-02-21,13
2020-02-22,8
2020-02-23,6
2020-02-24,18
2020-02-25,9
2020-02-26,14
2020-02-27,6
2020-02-28,9
2020-02-29,10
2020-03-01,7
2020-03-02,10
2020-03-03,9
2020-03-04,8
2020-03-05,9
2020-03-06,17
2020-03-07,13
2020-03-08,21
2020-03-09,12
2020-03-10,13
2020-03-11,17
2020-03-12,17
2020-03-13,13
2020-03-14,10
2020-03-15,8
2020-03-16,13
2020-03-17,8
2020-03-18,9
2020-03-19,9
2020-03-20,12
2020-03-21,11
2020-03-22,11
2020-03-23,13
2020-03-24,14
2020-03-25,8
2020-03-26,11
2020-03-27,11
2020-03-28,15
2020-03-29,10
2020-03-30,5
2020-03-31,10
2020-04-01,6
2020-04-02,12
2020-04-03,7
2020-04-04,5
2020-04-05,13
2020-04-06,6
2020-04-07,19
2020-04-08,10
2020-04-09,11
