Year,Setting,Count
2015,Hospital-Acute Care,144
2016,Hospital-Acute Care,394
2017,Hospital-Acute Care,204
2018,Hospital-Acute Care,442
2019,Hospital-Acute Care,470
2020,Hospital-Acute Care,23
2021,Hospital-Acute Care,264
2022,Hospital-Acute Care,446
2023,Hospital-Acute Care,276
2024,Hospital-Acute Care,228
2025,Hospital-Acute Care,478
2015,Hospital-Chronic Care,227
2016,Hospital-Chronic Care,339
2017,Hospital-Chronic Care,286
2018,Hospital-Chronic Care,51
2019,Hospital-Chronic Care,450
2020,Hospital-Chronic Care,123
2021,Hospital-Chronic Care,21
2022,Hospital-Chronic Care,164
2023,Hospital-Chronic Care,477
2024,Hospital-Chronic Care,445
2025,Hospital-Chronic Care,346
2015,Hospital-Psychiatric,320
2016,Hospital-Psychiatric,497
2017,Hospital-Psychiatric,328
2018,Hospital-Psychiatric,354
2019,Hospital-Psychiatric,272
2020,Hospital-Psychiatric,297
2021,Hospital-Psychiatric,145
2022,Hospital-Psychiatric,74
2023,Hospital-Psychiatric,482
2024,Hospital-Psychiatric,451
2025,Hospital-Psychiatric,345
2015,LTCH,398
2016,LTCH,12
2017,LTCH,239
2018,LTCH,379
2019,LTCH,108
2020,LTCH,159
2021,LTCH,116
2022,LTCH,71
2023,LTCH,207
2024,LTCH,207
2025,LTCH,184
2015,Retirement Home,76
2016,Retirement Home,69
2017,Retirement Home,117
2018,Retirement Home,233
2019,Retirement Home,133
2020,Retirement Home,429
2021,Retirement Home,23
2022,Retirement Home,221
2023,Retirement Home,399
2024,Retirement Home,61
2025,Retirement Home,280
2015,Shelter,103
2016,Shelter,64
2017,Shelter,377
2018,Shelter,448
2019,Shelter,187
2020,Shelter,333
2021,Shelter,47
2022,Shelter,192
2023,Shelter,137
2024,Shelter,407
2025,Shelter,224
2015,Transitional Care,405
2016,Transitional Care,406
2017,Transitional Care,397
2018,Transitional Care,220
2019,Transitional Care,377
2020,Transitional Care,315
2021,Transitional Care,355
2022,Transitional Care,0
2023,Transitional Care,238
2024,Transitional Care,110
2025,Transitional Care,190
