pollster,numeric_grade,pollscore,state,end_date,candidate_name,sample_size,pct,num_harris
AtlasIntel,2.7,-0.8,Arizona,2024-10-29,Kamala Harris,1458,46.4,677
AtlasIntel,2.7,-0.8,Arizona,2024-10-29,Kamala Harris,1458,47.3,690
AtlasIntel,2.7,-0.8,Georgia,2024-10-29,Kamala Harris,1429,47.1,673
AtlasIntel,2.7,-0.8,Georgia,2024-10-29,Kamala Harris,1429,47.5,679
AtlasIntel,2.7,-0.8,Michigan,2024-10-29,Kamala Harris,983,47.9,471
AtlasIntel,2.7,-0.8,Michigan,2024-10-29,Kamala Harris,983,48.1,473
AtlasIntel,2.7,-0.8,Nevada,2024-10-29,Kamala Harris,1083,47.5,514
AtlasIntel,2.7,-0.8,Nevada,2024-10-29,Kamala Harris,1083,47.6,516
AtlasIntel,2.7,-0.8,North Carolina,2024-10-29,Kamala Harris,1665,48.5,808
AtlasIntel,2.7,-0.8,North Carolina,2024-10-29,Kamala Harris,1665,48.9,814
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-29,Kamala Harris,1299,46.6,605
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-29,Kamala Harris,1299,46.9,609
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-29,Kamala Harris,1470,48.1,707
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-29,Kamala Harris,1470,48.5,713
YouGov,3,-1.1,Pennsylvania,2024-10-28,Kamala Harris,1273,49,624
YouGov,3,-1.1,Other,2024-10-28,Kamala Harris,1206,40,482
YouGov,3,-1.1,Other,2024-10-28,Kamala Harris,408,43,175
YouGov,3,-1.1,Other,2024-10-28,Kamala Harris,393,52,204
YouGov,3,-1.1,Other,2024-10-28,Kamala Harris,404,25,101
Emerson,2.9,-1.1,Michigan,2024-10-27,Kamala Harris,1000,49.3,493
Emerson,2.9,-1.1,Massachusetts,2024-10-26,Kamala Harris,1000,60.2,602
Siena/NYT,3,-1.5,Texas,2024-10-26,Kamala Harris,1180,41,484
Siena/NYT,3,-1.5,Texas,2024-10-26,Kamala Harris,1180,40,472
Siena/NYT,3,-1.5,Texas,2024-10-26,Kamala Harris,1180,42,496
Siena/NYT,3,-1.5,Texas,2024-10-26,Kamala Harris,1180,40,472
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,1194,40,478
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,1194,38,454
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,1194,40,478
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,1194,39,466
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,500,54,270
Siena/NYT,3,-1.5,Other,2024-10-26,Kamala Harris,500,53,265
Emerson,2.9,-1.1,Montana,2024-10-25,Kamala Harris,1000,39.6,396
CES / YouGov,3,-1.1,Arizona,2024-10-25,Kamala Harris,2077,49,1018
CES / YouGov,3,-1.1,Arizona,2024-10-25,Kamala Harris,2066,47,971
CES / YouGov,3,-1.1,Florida,2024-10-25,Kamala Harris,5952,47,2797
CES / YouGov,3,-1.1,Florida,2024-10-25,Kamala Harris,5916,46,2721
CES / YouGov,3,-1.1,Georgia,2024-10-25,Kamala Harris,2682,48,1287
CES / YouGov,3,-1.1,Georgia,2024-10-25,Kamala Harris,2663,46,1225
CES / YouGov,3,-1.1,Michigan,2024-10-25,Kamala Harris,2347,52,1220
CES / YouGov,3,-1.1,Michigan,2024-10-25,Kamala Harris,2336,51,1191
CES / YouGov,3,-1.1,Minnesota,2024-10-25,Kamala Harris,1278,52,665
CES / YouGov,3,-1.1,Minnesota,2024-10-25,Kamala Harris,1275,53,676
CES / YouGov,3,-1.1,Nevada,2024-10-25,Kamala Harris,940,53,498
CES / YouGov,3,-1.1,Nevada,2024-10-25,Kamala Harris,933,51,476
CES / YouGov,3,-1.1,New Hampshire,2024-10-25,Kamala Harris,380,52,198
CES / YouGov,3,-1.1,New Hampshire,2024-10-25,Kamala Harris,375,52,195
CES / YouGov,3,-1.1,North Carolina,2024-10-25,Kamala Harris,2330,49,1142
CES / YouGov,3,-1.1,North Carolina,2024-10-25,Kamala Harris,2308,48,1108
CES / YouGov,3,-1.1,Ohio,2024-10-25,Kamala Harris,3120,45,1404
CES / YouGov,3,-1.1,Ohio,2024-10-25,Kamala Harris,3091,45,1391
CES / YouGov,3,-1.1,Pennsylvania,2024-10-25,Kamala Harris,3708,50,1854
CES / YouGov,3,-1.1,Pennsylvania,2024-10-25,Kamala Harris,3685,49,1806
CES / YouGov,3,-1.1,Texas,2024-10-25,Kamala Harris,6526,47,3067
CES / YouGov,3,-1.1,Texas,2024-10-25,Kamala Harris,6473,47,3042
CES / YouGov,3,-1.1,Virginia,2024-10-25,Kamala Harris,2027,53,1074
CES / YouGov,3,-1.1,Virginia,2024-10-25,Kamala Harris,2015,52,1048
CES / YouGov,3,-1.1,Wisconsin,2024-10-25,Kamala Harris,1552,51,792
CES / YouGov,3,-1.1,Wisconsin,2024-10-25,Kamala Harris,1542,50,771
Emerson,2.9,-1.1,New Hampshire,2024-10-23,Kamala Harris,915,50.9,466
Emerson,2.9,-1.1,Pennsylvania,2024-10-22,Kamala Harris,860,49,421
Emerson,2.9,-1.1,North Carolina,2024-10-22,Kamala Harris,950,48.2,458
Emerson,2.9,-1.1,Wisconsin,2024-10-22,Kamala Harris,800,49.2,394
Emerson,2.9,-1.1,Other,2024-10-22,Kamala Harris,825,36.5,301
Marist,2.9,-0.9,Georgia,2024-10-22,Kamala Harris,1356,49,664
Marist,2.9,-0.9,Georgia,2024-10-22,Kamala Harris,1193,49,585
Marist,2.9,-0.9,North Carolina,2024-10-22,Kamala Harris,1410,48,677
Marist,2.9,-0.9,North Carolina,2024-10-22,Kamala Harris,1226,48,588
Marist,2.9,-0.9,Arizona,2024-10-22,Kamala Harris,1329,49,651
Marist,2.9,-0.9,Arizona,2024-10-22,Kamala Harris,1193,49,585
Emerson,2.9,-1.1,Maryland,2024-10-21,Kamala Harris,865,64,554
Emerson,2.9,-1.1,Texas,2024-10-21,Kamala Harris,815,45.9,374
Quinnipiac,2.8,-0.5,Michigan,2024-10-21,Kamala Harris,1136,49,557
Quinnipiac,2.8,-0.5,Michigan,2024-10-21,Kamala Harris,1136,50,568
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-21,Kamala Harris,1108,48,532
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-21,Kamala Harris,1108,48,532
Emerson,2.9,-1.1,Florida,2024-10-20,Kamala Harris,860,45.9,395
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,Kamala Harris,1440,48.6,700
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,Kamala Harris,1440,49.3,710
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,Kamala Harris,1411,48.1,679
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,Kamala Harris,1411,48.4,683
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,Kamala Harris,1529,46.8,716
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,Kamala Harris,1529,47.3,723
AtlasIntel,2.7,-0.8,Nevada,2024-10-17,Kamala Harris,1171,48.1,563
AtlasIntel,2.7,-0.8,Nevada,2024-10-17,Kamala Harris,1171,48.4,567
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,Kamala Harris,1674,49.5,829
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,Kamala Harris,1674,50.5,845
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,Kamala Harris,2048,46.5,952
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,Kamala Harris,2048,47.4,971
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,Kamala Harris,932,48.9,456
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,Kamala Harris,932,49,457
YouGov,3,-1.1,California,2024-10-17,Kamala Harris,1139,63,718
YouGov,3,-1.1,California,2024-10-17,Kamala Harris,1139,63,718
YouGov,3,-1.1,Pennsylvania,2024-10-17,Kamala Harris,1062,50,531
YouGov,3,-1.1,Pennsylvania,2024-10-17,Kamala Harris,1043,50,522
YouGov,3,-1.1,Florida,2024-10-17,Kamala Harris,1094,46,503
YouGov,3,-1.1,Florida,2024-10-17,Kamala Harris,1076,46,495
YouGov,3,-1.1,Texas,2024-10-17,Kamala Harris,1108,45,499
YouGov,3,-1.1,Texas,2024-10-17,Kamala Harris,1075,46,494
YouGov,3,-1.1,New York,2024-10-17,Kamala Harris,1089,58,632
YouGov,3,-1.1,New York,2024-10-17,Kamala Harris,1089,58,632
YouGov,3,-1.1,Arizona,2024-10-16,Kamala Harris,1435,48,689
Emerson,2.9,-1.1,California,2024-10-14,Kamala Harris,1000,61,610
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,Kamala Harris,1328,45,598
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,Kamala Harris,1328,46,611
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,Kamala Harris,1031,49,505
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,Kamala Harris,1031,50,516
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,50,428
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,49,420
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,50,428
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,49,420
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,46,372
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,45,364
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,45,364
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,44,356
YouGov,3,-1.1,Texas,2024-10-10,Kamala Harris,1091,46,502
Emerson,2.9,-1.1,Arizona,2024-10-08,Kamala Harris,1000,48.2,482
Emerson,2.9,-1.1,Georgia,2024-10-08,Kamala Harris,1000,49.8,498
Emerson,2.9,-1.1,Michigan,2024-10-08,Kamala Harris,950,49.7,472
Emerson,2.9,-1.1,Nevada,2024-10-08,Kamala Harris,900,49.2,443
Emerson,2.9,-1.1,North Carolina,2024-10-08,Kamala Harris,1000,49,490
Emerson,2.9,-1.1,Pennsylvania,2024-10-08,Kamala Harris,1000,49,490
Emerson,2.9,-1.1,Wisconsin,2024-10-08,Kamala Harris,1000,49.2,492
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,39,256
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,38,249
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,40,262
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,39,256
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,Kamala Harris,1007,47,473
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,Kamala Harris,1007,47,473
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,Kamala Harris,1412,49,692
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,Kamala Harris,1412,49,692
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,Kamala Harris,1073,46,494
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,Kamala Harris,1073,47,504
Marist,2.9,-0.9,Florida,2024-10-07,Kamala Harris,1257,47,591
Marist,2.9,-0.9,Florida,2024-10-07,Kamala Harris,1410,47,663
Marist,2.9,-0.9,Texas,2024-10-07,Kamala Harris,1365,46,628
Marist,2.9,-0.9,Texas,2024-10-07,Kamala Harris,1186,46,546
